kind	workload	lanes	jobs	sample	elapsed_ns	checksum	attempts	collections	timeouts	peer_parks	exit_cleanups	pause_ns_total	pause_ns_max	rendezvous_ns_total	rendezvous_ns_max	tranche_bytes	bytes_issued	bytes_reset	bytes_current	minor_cycles	minor_prepare_ns	minor_trace_ns	minor_sweep_ns	minor_post_sweep_ns	full_cycles	full_prepare_ns	full_trace_ns	full_sweep_ns	full_post_sweep_ns	object_batch_calls	object_batch_cells	object_batch_ns_total	object_batch_ns_max	worker_runs	worker_run_ns	worker_run_ns_max	join_wait_ns	join_parks	heap_collections	heap_minor_collections	heap_live_cells	heap_young_cells	heap_young_bytes	last_minor_young_bytes	last_minor_reclaimed_bytes	last_minor_survived_cells	last_minor_survived_bytes	backing_chunks	backing_capacity_slots	backing_live_slots	backing_free_slots
zig-js-gc	object_churn	1	100	0	111158416	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	10208	239292	5500	250	7400	1999999	33952220	68292	1	110804208	110804208	110808293	20	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
zig-js-gc	object_churn	1	100	1	113964291	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	9334	254875	6416	167	7400	1999999	34838670	77417	1	113602542	113602542	113576750	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
zig-js-gc	object_churn	1	100	2	114424416	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	7209	305333	6083	209	7400	1999999	34679348	78792	1	114015333	114015333	114015831	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
zig-js-gc	object_churn	1	100	3	115327250	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	7083	233750	5375	167	7400	1999999	35342233	55875	1	114984958	114984958	114984083	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
zig-js-gc	object_churn	1	100	4	112089291	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	8209	247333	5875	167	7400	1999999	34740902	80833	1	111747667	111747667	111741498	20	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
zig-js-gc	object_churn	1	100	5	112519833	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	8750	248209	5541	84	7400	1999999	34585461	68833	1	112168833	112168833	112171666	20	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
zig-js-gc	object_churn	1	100	6	114137125	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	7917	223000	5583	42	7400	1999999	35713404	104292	1	113820083	113820083	113815958	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
zig-js-gc	object_churn	2	100	0	136776125	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	8375	240625	5458	83	14800	3999998	86993788	207333	2	271794541	136427250	136412540	25	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
zig-js-gc	object_churn	2	100	1	133897417	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	8500	239125	5667	83	14800	3999998	86446928	140209	2	266540833	133548583	133518455	24	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
zig-js-gc	object_churn	2	100	2	134096833	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	7708	223375	5833	167	14800	3999998	85492880	228916	2	266295125	133744167	133729454	25	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
zig-js-gc	object_churn	2	100	3	130745208	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	8625	282875	6292	250	14800	3999998	85311128	126500	2	259907792	130275792	130320501	25	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
zig-js-gc	object_churn	2	100	4	141695292	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	7542	226458	5500	84	14800	3999998	90380950	266125	2	282686167	141361584	141327963	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
zig-js-gc	object_churn	2	100	5	171826833	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	7208	254667	5833	334	14800	3999998	94857504	825000	2	310902667	169692209	171431374	30	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
zig-js-gc	object_churn	2	100	6	144412166	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	7459	364416	6542	375	14800	3999998	91898109	189000	2	283247708	143938083	143926499	26	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
zig-js-gc	object_churn	4	100	0	261580083	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	7625	238708	6042	208	29600	7999996	377045306	290833	4	1042074376	261159917	261152921	49	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
zig-js-gc	object_churn	4	100	1	283015542	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	7416	268625	5792	250	29600	7999996	392430121	513333	4	1116028959	282592542	282553293	52	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
zig-js-gc	object_churn	4	100	2	294114417	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	8042	225875	5833	125	29600	7999996	397424422	649166	4	1146883750	293727375	293678333	53	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
zig-js-gc	object_churn	4	100	3	290026542	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	9833	250833	5750	167	29600	7999996	390501217	1120208	4	1135405542	289670375	289588707	52	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
zig-js-gc	object_churn	4	100	4	275908417	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	7000	237292	5375	166	29600	7999996	373365397	540875	4	1095916334	275513208	275496204	51	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
zig-js-gc	object_churn	4	100	5	287426125	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	9417	251166	5834	125	29600	7999996	394912970	618625	4	1138310209	287029417	286997745	52	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
zig-js-gc	object_churn	4	100	6	292472208	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	9167	306875	6833	292	29600	7999996	403829861	1306750	4	1143909959	292027625	291974621	53	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
zig-js-gc	object_churn	8	100	0	1852879625	8309369344	1	1	0	7	0	589258042	589258042	5333	5333	1073741824	2074317568	1073761280	1000556288	1	64676459	399166	524175542	875	1	9459	257666	5375	84	59200	15999992	4617197349	10440875	8	14197837500	1852508334	1852167013	331	2	1	7822525	7819898	1000946944	1073761664	1073371008	3052	390656	16392	8395008	7823876	571132
zig-js-gc	object_churn	8	100	1	1946722709	8309369344	1	1	0	7	0	644995833	644995833	32833	32833	1073741824	2074317568	1073759104	1000558464	1	81174000	396083	563391084	1208	1	17791	402875	29667	250	59200	15999992	5373690158	2760667	8	15334484459	1946169500	1945530812	348	2	1	7822462	7819835	1000938880	1073759488	1073379072	2972	380416	16392	8395008	7823813	571195
zig-js-gc	object_churn	8	100	2	1881983333	8309369344	1	1	0	7	0	601903667	601903667	12792	12792	1073741824	2074317568	1073792896	1000524672	1	68263333	399417	533226500	875	1	8917	247791	6459	333	59200	15999992	5032361639	10638625	8	14838700749	1881508417	1881291747	337	2	1	7822560	7819933	1000951424	1073793280	1073366528	3334	426752	16393	8395520	7823911	571609
zig-js-gc	object_churn	8	100	3	1862639417	8309369344	1	1	0	7	0	618957584	618957584	22625	22625	1073741824	2074317568	1073809920	1000507648	1	77638375	401333	540893292	1167	1	8416	237167	5042	375	59200	15999992	3701513871	20113333	8	13917558333	1862215500	1861946410	334	2	1	7822037	7819410	1000884480	1073810304	1073433472	2944	376832	16393	8395520	7823388	572132
zig-js-gc	object_churn	8	100	4	1944704875	8309369344	1	1	0	7	0	673699209	673699209	20417	20417	1073741824	2074317568	1073792896	1000524672	1	65510792	469333	607696833	1000	1	7667	238917	5333	83	59200	15999992	4675048585	20221708	8	15018223751	1944234375	1943842750	348	2	1	7822511	7819884	1000945152	1073793280	1073372800	3285	420480	16393	8395520	7823862	571658
zig-js-gc	object_churn	8	100	5	1855680917	8309369344	1	1	0	7	0	623063708	623063708	29625	29625	1073741824	2074317568	1073753472	1000564096	1	76274292	233667	546524291	875	1	10000	273792	6708	250	59200	15999992	4033091319	20201166	8	14103014624	1855170042	1854892778	333	2	1	7822963	7820336	1001003008	1073753856	1073314944	3429	438912	16392	8395008	7824314	570694
zig-js-gc	object_churn	8	100	6	1801484250	8309369344	1	1	0	7	0	561889916	561889916	17541	17541	1073741824	2074317568	1073749376	1000568192	1	83877250	196292	477797041	1084	1	8958	254375	6583	125	59200	15999992	4206263644	10595792	8	13839214292	1800993708	1800625249	323	2	1	7822222	7819595	1000908160	1073749760	1073409792	2656	339968	16392	8395008	7823573	571435
