trigger	scenario	tenuring_age	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
automatic	high	1	4194304	3	8	24576	344956625	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	39216333	3016584	0	0	0	0
automatic	high	1	4194304	4	8	24576	341918125	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	39675335	2965292	0	0	0	0
automatic	high	1	4194304	5	8	24576	345187000	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	38486920	2806834	0	0	0	0
automatic	high	1	4194304	6	8	24576	343341041	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	39125458	2894208	0	0	0	0
automatic	high	3	4194304	0	8	24576	359744250	4831838208	34	0	145640152	72522688	73117464	23427904	26220584	2552040	4370408	405	28311552	55313167	2614167	0	0	0	0
automatic	high	3	4194304	1	8	24576	359881833	4831838208	34	0	145640152	72522688	73117464	23427904	26220584	2552040	4370408	405	28311552	54379208	2658541	0	0	0	0
automatic	high	3	4194304	2	8	24576	361251083	4831838208	34	0	145640152	72522688	73117464	23427904	26220584	2552040	4370408	405	28311552	55328083	2653083	0	0	0	0
automatic	high	3	4194304	3	8	24576	359368292	4831838208	34	0	145640152	72522688	73117464	23427904	26220584	2552040	4370408	405	28311552	54793373	2733500	0	0	0	0
automatic	high	3	4194304	4	8	24576	361739667	4831838208	34	0	145640152	72522688	73117464	23427904	26220584	2552040	4370408	405	28311552	53813293	2639542	0	0	0	0
automatic	high	3	4194304	5	8	24576	356471375	4831838208	34	0	145640152	72522688	73117464	23427904	26220584	2552040	4370408	405	28311552	55197708	2762042	0	0	0	0
automatic	high	3	4194304	6	8	24576	361426792	4831838208	34	0	145640152	72522688	73117464	23427904	26220584	2552040	4370408	405	28311552	54023750	2651833	0	0	0	0
