variant	pair_sample	order	max_rss_bytes	workload	lanes	jobs	sample	elapsed_ns	checksum	attempts	collections	timeouts	peer_parks	exit_cleanups	pause_ns_total	pause_ns_max	rendezvous_ns_total	rendezvous_ns_max	tranche_bytes	bytes_issued	bytes_reset	bytes_current	minor_cycles	minor_prepare_ns	minor_trace_ns	minor_sweep_ns	minor_post_sweep_ns	full_cycles	full_prepare_ns	full_trace_ns	full_sweep_ns	full_post_sweep_ns	object_batch_calls	object_batch_cells	object_batch_ns_total	object_batch_ns_max	worker_runs	worker_run_ns	worker_run_ns_max	join_wait_ns	join_parks	heap_collections	heap_minor_collections	heap_live_cells	heap_young_cells	heap_young_bytes	last_minor_young_bytes	last_minor_reclaimed_bytes	last_minor_survived_cells	last_minor_survived_bytes	backing_chunks	backing_capacity_slots	backing_live_slots	backing_free_slots	kind
parent	0	0	550092800	object_churn	2	100	0	165879417	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	14800	3999998	144754301	1256209	2	331448001	165784542	165761040	30	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
candidate	0	1	551780352	object_churn	2	100	0	137883291	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	400	3999998	100313876	2009750	2	274796708	137751125	137765292	26	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
candidate	1	0	551845888	object_churn	2	100	0	139069125	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	400	3999998	99604748	2188083	2	277237083	138959542	138941416	26	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
parent	1	1	550207488	object_churn	2	100	0	168283083	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	14800	3999998	145933616	1011500	2	336097541	168088791	168104793	31	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
parent	2	0	550223872	object_churn	2	100	0	165549833	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	14800	3999998	143906123	1209334	2	329792124	165369333	165342665	31	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
candidate	2	1	551829504	object_churn	2	100	0	144369583	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	400	3999998	103052487	2079375	2	287761834	144259125	144242002	27	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
candidate	3	0	552452096	object_churn	2	100	0	140456334	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	400	3999998	101698035	2690083	2	280562916	140309458	140319706	26	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
parent	3	1	550027264	object_churn	2	100	0	167229834	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	14800	3999998	146587752	1411750	2	333989542	167132583	167107503	31	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
parent	4	0	550256640	object_churn	2	100	0	166401250	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	14800	3999998	143646465	806375	2	332560625	166284500	166268994	31	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
candidate	4	1	551780352	object_churn	2	100	0	139313084	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	400	3999998	101884450	1878917	2	277829999	139174958	139189001	26	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
candidate	5	0	552058880	object_churn	2	100	0	139809667	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	400	3999998	96174501	1540708	2	277545334	139562042	139644625	26	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
