trigger	scenario	tenuring_age	moving	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	moving_minor_collections	moved_cells	moved_bytes	move_failures	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
forced	ephemeral	3	1	4194304	6	8	24576	304656667	4831838208	8	0	99100288	1024	99099264	0	8	8	1024	0	245408	128	72057594037927935	127	13565952	36909332	6724042	0	0	0	0
forced	high	1	0	4194304	0	8	24576	488225959	4831838208	8	0	99099392	25166848	73932544	25166848	0	0	0	0	25413024	0	72057594037927935	463	35586048	132728792	60856875	0	0	0	0
forced	high	1	0	4194304	1	8	24576	435182084	4831838208	8	0	99099392	25166848	73932544	25166848	0	0	0	0	25413024	0	72057594037927935	463	35586048	82605957	14787583	0	0	0	0
forced	high	1	0	4194304	2	8	24576	424593208	4831838208	8	0	99099392	25166848	73932544	25166848	0	0	0	0	25413024	0	72057594037927935	463	35586048	78340084	13848292	0	0	0	0
forced	high	1	0	4194304	3	8	24576	424762000	4831838208	8	0	99099392	25166848	73932544	25166848	0	0	0	0	25413024	0	72057594037927935	463	35586048	83007248	15623750	0	0	0	0
forced	high	1	0	4194304	4	8	24576	425264166	4831838208	8	0	99099392	25166848	73932544	25166848	0	0	0	0	25413024	0	72057594037927935	463	35586048	83666459	15167208	0	0	0	0
forced	high	1	0	4194304	5	8	24576	422877959	4831838208	8	0	99099392	25166848	73932544	25166848	0	0	0	0	25413024	0	72057594037927935	463	35586048	80666751	14350084	0	0	0	0
forced	high	1	0	4194304	6	8	24576	424036250	4831838208	8	0	99099392	25166848	73932544	25166848	0	0	0	0	25413024	0	72057594037927935	463	35586048	81615168	14576292	0	0	0	0
forced	high	3	0	4194304	0	8	24576	486068167	4831838208	8	0	139995520	66062976	73932544	18875136	0	0	0	0	25413024	6291712	72057594037927935	463	35586048	98298000	17194875	0	0	0	0
forced	high	3	0	4194304	1	8	24576	455327667	4831838208	8	0	139995520	66062976	73932544	18875136	0	0	0	0	25413024	6291712	72057594037927935	463	35586048	95933167	17201959	0	0	0	0
forced	high	3	0	4194304	2	8	24576	432424708	4831838208	8	0	139995520	66062976	73932544	18875136	0	0	0	0	25413024	6291712	72057594037927935	463	35586048	85743375	15867500	0	0	0	0
forced	high	3	0	4194304	3	8	24576	438645625	4831838208	8	0	139995520	66062976	73932544	18875136	0	0	0	0	25413024	6291712	72057594037927935	463	35586048	88262458	16127750	0	0	0	0
forced	high	3	0	4194304	4	8	24576	437713584	4831838208	8	0	139995520	66062976	73932544	18875136	0	0	0	0	25413024	6291712	72057594037927935	463	35586048	90922666	16490750	0	0	0	0
forced	high	3	0	4194304	5	8	24576	435650541	4831838208	8	0	139995520	66062976	73932544	18875136	0	0	0	0	25413024	6291712	72057594037927935	463	35586048	89752377	16552959	0	0	0	0
forced	high	3	0	4194304	6	8	24576	437988542	4831838208	8	0	139995520	66062976	73932544	18875136	0	0	0	0	25413024	6291712	72057594037927935	463	35586048	89860916	16739000	0	0	0	0
forced	high	1	1	4194304	0	8	24576	600165583	4831838208	8	0	99099392	25166848	73932544	25166848	8	196616	25166848	0	25413024	0	72057594037927935	463	35586048	240780958	57371792	0	0	0	0
forced	high	1	1	4194304	1	8	24576	590304042	4831838208	8	0	99099392	25166848	73932544	25166848	8	196616	25166848	0	25413024	0	72057594037927935	463	35586048	230744583	55762667	0	0	0	0
forced	high	1	1	4194304	2	8	24576	570255458	4831838208	8	0	99099392	25166848	73932544	25166848	8	196616	25166848	0	25413024	0	72057594037927935	463	35586048	210654874	40742041	0	0	0	0
forced	high	1	1	4194304	3	8	24576	571707000	4831838208	8	0	99099392	25166848	73932544	25166848	8	196616	25166848	0	25413024	0	72057594037927935	463	35586048	216054915	40597083	0	0	0	0
forced	high	1	1	4194304	4	8	24576	585156708	4831838208	8	0	99099392	25166848	73932544	25166848	8	196616	25166848	0	25413024	0	72057594037927935	463	35586048	224986792	43755958	0	0	0	0
forced	high	1	1	4194304	5	8	24576	607849334	4831838208	8	0	99099392	25166848	73932544	25166848	8	196616	25166848	0	25413024	0	72057594037927935	463	35586048	226336459	43963208	0	0	0	0
forced	high	1	1	4194304	6	8	24576	579692708	4831838208	8	0	99099392	25166848	73932544	25166848	8	196616	25166848	0	25413024	0	72057594037927935	463	35586048	224942705	42542958	0	0	0	0
forced	high	3	1	4194304	0	8	24576	682640666	4831838208	8	0	139995520	66062976	73932544	18875136	8	516117	66062976	0	25413024	6291712	72057594037927935	559	41877504	330090999	65141791	0	0	0	0
forced	high	3	1	4194304	1	8	24576	694092417	4831838208	8	0	139995520	66062976	73932544	18875136	8	516117	66062976	0	25413024	6291712	72057594037927935	559	41877504	337062666	62251791	0	0	0	0
forced	high	3	1	4194304	2	8	24576	694557625	4831838208	8	0	139995520	66062976	73932544	18875136	8	516117	66062976	0	25413024	6291712	72057594037927935	559	41877504	337832499	61307250	0	0	0	0
forced	high	3	1	4194304	3	8	24576	693753375	4831838208	8	0	139995520	66062976	73932544	18875136	8	516117	66062976	0	25413024	6291712	72057594037927935	559	41877504	339637126	67766166	0	0	0	0
forced	high	3	1	4194304	4	8	24576	753587625	4831838208	8	0	139995520	66062976	73932544	18875136	8	516117	66062976	0	25413024	6291712	72057594037927935	559	41877504	360542627	85898625	0	0	0	0
forced	high	3	1	4194304	5	8	24576	688064542	4831838208	8	0	139995520	66062976	73932544	18875136	8	516117	66062976	0	25413024	6291712	72057594037927935	559	41877504	328173167	62680833	0	0	0	0
forced	high	3	1	4194304	6	8	24576	788340959	4831838208	8	0	139995520	66062976	73932544	18875136	8	516117	66062976	0	25413024	6291712	72057594037927935	559	41877504	404041501	105028500	0	0	0	0
forced	mixed	1	0	4194304	0	8	24576	353415709	4831838208	8	0	99099392	3146752	95952640	3146752	0	0	0	0	3392160	0	72057594037927935	169	16318464	46175751	9243000	0	0	0	0
forced	mixed	1	0	4194304	1	8	24576	333185959	4831838208	8	0	99099392	3146752	95952640	3146752	0	0	0	0	3392160	0	72057594037927935	169	16318464	42895876	7299209	0	0	0	0
forced	mixed	1	0	4194304	2	8	24576	335722083	4831838208	8	0	99099392	3146752	95952640	3146752	0	0	0	0	3392160	0	72057594037927935	169	16318464	42316209	6776125	0	0	0	0
forced	mixed	1	0	4194304	3	8	24576	342648916	4831838208	8	0	99099392	3146752	95952640	3146752	0	0	0	0	3392160	0	72057594037927935	169	16318464	44911583	6888791	0	0	0	0
